estado,marcas,nome_da_revenda,pontas,price,manufacturer,group,ano,regiao
RS,TeeJet;Outras;,LLJ COMÉRCIO DE MÁQUINAS,XR-VK,19.57,TEEJET,2,2021,Sul
RS,TeeJet;Outras;,LLJ COMÉRCIO DE MÁQUINAS,TXA,19.5,TEEJET,1,2021,Sul
RS,TeeJet;Outras;,LLJ COMÉRCIO DE MÁQUINAS,TT-VP,17.91,TEEJET,3,2021,Sul
RS,TeeJet;Outras;,LLJ COMÉRCIO DE MÁQUINAS,TTJ60,24.5,TEEJET,4,2021,Sul
RS,TeeJet;Magnojet;Outras;,CAMSUL - COOP. AGR. MISTA SUL RIOGRANDENSE,AD-IA,29.75,MAGNOJET,5,2021,Sul
MS,Magnojet;,ATUALIZE TECNOLOGIA AGRÍCOLA,MUG,69.5,MAGNOJET,6,2021,Centro-Oeste
MT,Magnojet;TeeJet;,CEIFAGRO PEÇAS AGRICOLAS,MUG,43.5,MAGNOJET,6,2021,Centro-Oeste
MT,TeeJet;Magnojet;Jacto;,TRATORTEC MAQ,MUG,44.92,MAGNOJET,6,2021,Centro-Oeste
MT,Magnojet;,TRATORMAQ,MUG,42,MAGNOJET,6,2021,Centro-Oeste
GO,Magnojet;Jacto;,COOPERCITRUS,MUG,42.58,MAGNOJET,6,2021,Centro-Oeste
MG,Magnojet;TeeJet;,TERRA AGRICOLA,MUG,65,MAGNOJET,6,2021,Sudeste
GO,Magnojet;,A CAMARGO,MUG,59,MAGNOJET,6,2021,Centro-Oeste
PR,TeeJet;Jacto;Magnojet;,COAMO,MUG,40,MAGNOJET,6,2021,Sul
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,XR-VK,42.24,TEEJET,2,2021,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,TXA,23.24,TEEJET,1,2021,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,TT-VP,21.47,TEEJET,3,2021,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,TTJ60,20.36,TEEJET,4,2021,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,AIXR-VK,61.75,TEEJET,5,2021,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,TTI,76.54,TEEJET,6,2021,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,BD,10.27,MAGNOJET,2,2021,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,MAG,9.42,MAGNOJET,1,2021,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,MGA,19.32,MAGNOJET,1,2021,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,ST,21.06,MAGNOJET,3,2021,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,ST-D,27.9,MAGNOJET,4,2021,Online
Online,Jacto;TeeJet;Magnojet;Hypro;,CANAL AGRÍCOLA,AD-IA,31.7,MAGNOJET,5,2021,Online
SP,Magnojet;TeeJet;,AGROTERRA PULVERIZADORES E MÁQUINAS AGRÍCOLA,BD,12,MAGNOJET,2,2021,Sudeste
SP,Magnojet;TeeJet;,AGROTERRA PULVERIZADORES E MÁQUINAS AGRÍCOLA,MGA,19.32,MAGNOJET,1,2021,Sudeste
SP,Magnojet;TeeJet;,AGROTERRA PULVERIZADORES E MÁQUINAS AGRÍCOLA,ST,24.31,MAGNOJET,3,2021,Sudeste
SP,Magnojet;TeeJet;,AGROTERRA PULVERIZADORES E MÁQUINAS AGRÍCOLA,ST-D,27.9,MAGNOJET,4,2021,Sudeste
SP,Magnojet;TeeJet;,AGROTERRA PULVERIZADORES E MÁQUINAS AGRÍCOLA,MUG,45,MAGNOJET,6,2021,Sudeste
