pontas,group,ano,manufacturer,preco_medio,sd,preco_base,diff
JMD,6,2021,JACTO,129.1,NA,67.15,92.3
MUG,6,2021,MAGNOJET,49,10.34,67.15,-27
TTI,6,2021,TEEJET,67.15,23.53,67.15,0
AVI,5,2021,JACTO,56.59,19.42,42.91,31.9
CVI,5,2021,JACTO,73.04,8.79,42.91,70.2
AD-IA,5,2021,MAGNOJET,36.09,5.18,42.91,-15.9
AIXR-VK,5,2021,TEEJET,42.91,11.27,42.91,0
ST-D,4,2021,MAGNOJET,30.35,7.86,26.42,14.9
TTJ60,4,2021,TEEJET,26.42,6.75,26.42,0
J3D,3,2021,JACTO,61.39,7.27,22.82,169
JTT,3,2021,JACTO,26.62,2.49,22.82,16.7
ST,3,2021,MAGNOJET,26.04,4.69,22.82,14.1
TT-VP,3,2021,TEEJET,22.82,5.88,22.82,0
AXI,2,2021,JACTO,22.84,2.78,30.04,-24
BD,2,2021,MAGNOJET,12.06,2.49,30.04,-59.9
XR-VK,2,2021,TEEJET,30.04,10.22,30.04,0
JA,1,2021,JACTO,18.25,4.72,23.63,-22.8
ATR,1,2021,JACTO,31.34,4.37,23.63,32.6
MAG,1,2021,MAGNOJET,11.98,1.62,23.63,-49.3
MGA,1,2021,MAGNOJET,24.01,3.76,23.63,1.6
TXA,1,2021,TEEJET,23.63,6.62,23.63,0
JMD,6,2022,JACTO,80.19,35.63,51.39,56
MUG,6,2022,MAGNOJET,68.09,13.63,51.39,32.5
TTI,6,2022,TEEJET,51.39,5.87,51.39,0
AVI,5,2022,JACTO,71.69,5.93,38.42,86.6
CVI,5,2022,JACTO,81.34,16.04,38.42,111.7
AD-IA,5,2022,MAGNOJET,36.38,2.89,38.42,-5.3
AIXR-VK,5,2022,TEEJET,38.42,2.94,38.42,0
ST-D,4,2022,MAGNOJET,32.99,4.81,24.67,33.7
TTJ60,4,2022,TEEJET,24.67,5.03,24.67,0
J3D,3,2022,JACTO,81.44,33.86,21.76,274.3
JTT,3,2022,JACTO,25.18,10.13,21.76,15.7
ST,3,2022,MAGNOJET,28.99,4.57,21.76,33.2
TT-VP,3,2022,TEEJET,21.76,3.45,21.76,0
AXI,2,2022,JACTO,25.06,5.73,23.65,6
BD,2,2022,MAGNOJET,14.61,2.44,23.65,-38.2
XR-VK,2,2022,TEEJET,23.65,8.07,23.65,0
JA,1,2022,JACTO,21.07,2.91,22.11,-4.7
ATR,1,2022,JACTO,31.41,13.3,22.11,42.1
MAG,1,2022,MAGNOJET,11.32,1.59,22.11,-48.8
MGA,1,2022,MAGNOJET,21.71,2.51,22.11,-1.8
TXA,1,2022,TEEJET,22.11,3.91,22.11,0
