ponta,price,unidades,marca,preco_un
Bico de Pulverização Cerâmico TeeJet ConeJet (TXA)    ,34.46,1,TeeJet,34.46
Bico de Pulverização Teejet Turbo TwinJet (TTJ60) (Martelinho Duplo)    ,41.17,1,TeeJet,41.17
Bico de Pulverização com Indução de Ar Teejet Turbo Induction (martelinho com indução de ar) (TTI)    ,59.78,1,TeeJet,59.78
Bico de Pulverização com Indução de Ar Teejet Turbo TwinJet Air Induction (AITTJ60)    ,88.09,1,TeeJet,88.09
Bico de Pulverização Teejet Deriva Reduzida DG11005-VP - Marrom - Polímero    ,23.66,1,TeeJet,23.66
Bico de Pulverização Teejet Quick Turbo FloodJet (QCTF)    ,378.05,1,TeeJet,378.05
Bico de Pulverização TeeJet Turbo FloodJet (TF-VS)    ,141.94,1,TeeJet,141.94
Bico de Pulverização TeeJet Extended Range 110° - Inox (XR110-VS)    ,69.86,1,TeeJet,69.86
Bico de Pulverização Jato Duplo com Indução de Ar TeeJet (AI3070)    ,88.89,1,TeeJet,88.89
Bico de Pulverização TeeJet FloodJet (TFW)    ,108.38,1,TeeJet,108.38
Bico de Pulverização TeeJet Turbo FloodJet (TF-VP)    ,32.35,1,TeeJet,32.35
Bico de Pulverização TeeJet OC em Latão (OC)    ,119.99,1,TeeJet,119.99
Bico de Pulverização TeeJet TQ15003 Latão (TQ15003)    ,98.63,1,TeeJet,98.63
Bico de Pulverização Teejet Deriva Reduzida DG110-VP - Plástico (Cartela 25 unidades)    ,1.35,25,TeeJet,0.05
Bico de Pulverização Teejet FullJet em Celcon com Difusor de Aço Inoxidável (FL-VC)    ,81.35,1,TeeJet,81.35
Bico de Pulverização Teejet Deriva Reduzida DG110-VS Inox    ,95.59,1,TeeJet,95.59
Bico de Pulverização TeeJet Extended Range 110° - Polímero (XR110-VP)    ,39.31,1,TeeJet,39.31
Bico de Pulverização Teejet Deriva Reduzida DG11003-VP - Azul - Polímero    ,44.08,1,TeeJet,44.08
Bico de Pulverização Cerâmico com Indução de Ar TeeJet ConeJet Vermelho (AITXA80)    ,54.53,1,TeeJet,54.53
Bico de Pulverização Cerâmico TeeJet Extended Range 110 graus XR11003-VK - Azul (XR110-03-VK) - Kit com 5 Unidades    ,135.93,1,TeeJet,135.93
